"shapeid","GEOID10","NAME10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","DP0010001","DP0010002","DP0010003","DP0010004","DP0010005","DP0010006","DP0010007","DP0010008","DP0010009","DP0010010","DP0010011","DP0010012","DP0010013","DP0010014","DP0010015","DP0010016","DP0010017","DP0010018","DP0010019","DP0010020","DP0010021","DP0010022","DP0010023","DP0010024","DP0010025","DP0010026","DP0010027","DP0010028","DP0010029","DP0010030","DP0010031","DP0010032","DP0010033","DP0010034","DP0010035","DP0010036","DP0010037","DP0010038","DP0010039","DP0010040","DP0010041","DP0010042","DP0010043","DP0010044","DP0010045","DP0010046","DP0010047","DP0010048","DP0010049","DP0010050","DP0010051","DP0010052","DP0010053","DP0010054","DP0010055","DP0010056","DP0010057","DP0020001","DP0020002","DP0020003","DP0030001","DP0030002","DP0030003","DP0040001","DP0040002","DP0040003","DP0050001","DP0050002","DP0050003","DP0060001","DP0060002","DP0060003","DP0070001","DP0070002","DP0070003","DP0080001","DP0080002","DP0080003","DP0080004","DP0080005","DP0080006","DP0080007","DP0080008","DP0080009","DP0080010","DP0080011","DP0080012","DP0080013","DP0080014","DP0080015","DP0080016","DP0080017","DP0080018","DP0080019","DP0080020","DP0080021","DP0080022","DP0080023","DP0080024","DP0090001","DP0090002","DP0090003","DP0090004","DP0090005","DP0090006","DP0100001","DP0100002","DP0100003","DP0100004","DP0100005","DP0100006","DP0100007","DP0110001","DP0110002","DP0110003","DP0110004","DP0110005","DP0110006","DP0110007","DP0110008","DP0110009","DP0110010","DP0110011","DP0110012","DP0110013","DP0110014","DP0110015","DP0110016","DP0110017","DP0120001","DP0120002","DP0120003","DP0120004","DP0120005","DP0120006","DP0120007","DP0120008","DP0120009","DP0120010","DP0120011","DP0120012","DP0120013","DP0120014","DP0120015","DP0120016","DP0120017","DP0120018","DP0120019","DP0120020","DP0130001","DP0130002","DP0130003","DP0130004","DP0130005","DP0130006","DP0130007","DP0130008","DP0130009","DP0130010","DP0130011","DP0130012","DP0130013","DP0130014","DP0130015","DP0140001","DP0150001","DP0160001","DP0170001","DP0180001","DP0180002","DP0180003","DP0180004","DP0180005","DP0180006","DP0180007","DP0180008","DP0180009","DP0190001","DP0200001","DP0210001","DP0210002","DP0210003","DP0220001","DP0220002","DP0230001","DP0230002","Shape_Leng","Shape_Area"
"0","0635130","San Ramon Valley Unified School District","276719461.0","73474.0","+37.8046693","-121.9365298","143385","9055","11948","12253","9486","4595","5278","6895","10641","12780","13819","11923","9953","8634","6071","3863","2421","1840","1930","70192","4688","6145","6243","4982","2364","2548","3022","4959","6067","6740","5927","4820","4221","2930","1959","1176","756","645","73193","4367","5803","6010","4504","2231","2730","3873","5682","6713","7079","5996","5133","4413","3141","1904","1245","1084","1285","40.6","40.1","41.0","107823","51907","55916","103173","49514","53659","99685","47637","52048","21230","9959","11271","16125","7466","8659","143385","136744","96370","2769","319","34707","9845","12278","4537","1186","3056","1107","2698","255","56","71","20","108","2324","6641","523","3691","475","521","102216","3675","1130","39361","828","3347","143385","10717","6062","536","229","3890","132668","143385","10717","6881","125","120","270","31","2006","1284","132668","89489","2644","199","34437","224","318","5357","143385","142980","50850","34668","47673","38865","5246","1028","1968","4543","273","396","2080","405","219","55","164","186","82","104","50850","39907","21363","34668","18439","1583","882","3656","2042","10943","8594","3261","787","5333","2222","22049","11290","2.81","3.19","52740","50850","1890","485","61","474","184","289","397","1.2","4.4","50850","40276","10574","117283","25697","2.91","2.43","0.79672064613","0.02831771228"
"1","0632550","West Contra Costa Unified School District","159653377.0","115332231.0","+37.9730280","-122.3310035","235847","15997","15351","14936","15847","15499","16899","16629","16566","16809","17334","16919","15512","13710","9031","6397","4815","3648","3948","114458","8093","7835","7710","8098","7839","8422","8195","8026","8433","8354","8005","7313","6293","4083","2952","1992","1490","1325","121389","7904","7516","7226","7749","7660","8477","8434","8540","8376","8980","8914","8199","7417","4948","3445","2823","2158","2623","37.0","35.6","38.4","186441","89236","97205","180066","86020","94046","170538","81111","89427","35631","15339","20292","27839","11842","15997","235847","221798","87286","45518","1559","44788","4072","12123","14868","2391","1296","2499","7539","1122","128","124","276","594","41525","14049","942","2940","1812","3321","97787","50195","4075","50405","2287","46769","235847","79253","53667","1178","350","24058","156594","235847","79253","30161","1252","942","622","110","40344","5822","156594","57125","44266","617","44166","1012","1181","8227","235847","233516","82915","37666","70388","46467","26418","8050","3848","16129","1111","875","6154","2331","1394","842","552","937","538","399","82915","56749","26092","37666","17145","5284","2235","13799","6712","26166","20365","8656","2199","11709","4668","30156","21089","2.82","3.37","89296","82915","6381","2768","98","1096","247","306","1866","2.2","7.6","82915","49259","33656","138476","95040","2.81","2.82","0.75301076568","0.02819589862"
"2","0630600","Pittsburg Unified School District","67795115.0","8670771.0","+38.0027878","-121.8893695","55814","4427","4340","4207","4377","4304","4505","4006","3728","3731","3710","3734","3250","2504","1624","1251","892","648","576","27199","2175","2228","2154","2265","2191","2264","1932","1868","1853","1743","1754","1541","1129","736","547","376","236","207","28615","2252","2112","2053","2112","2113","2241","2074","1860","1878","1967","1980","1709","1375","888","704","516","412","369","32.1","30.8","33.4","41981","20205","21776","40254","19289","20965","37592","17931","19661","6399","2741","3658","4991","2102","2889","55814","51726","21155","10194","500","6692","795","410","4415","86","52","425","509","565","31","40","90","404","12620","4088","255","596","592","1082","24124","11658","1181","8109","961","14359","55814","25284","19352","805","87","5040","30530","55814","25284","9769","388","310","192","29","12472","2124","30530","11386","9806","190","6500","536","148","1964","55814","55541","17316","8374","18832","12651","7175","2521","869","3844","358","134","1475","273","138","54","84","135","58","77","17316","13019","6614","8374","4247","1317","620","3328","1747","4297","3205","1303","296","1902","771","7808","3779","3.21","3.64","18784","17316","1468","541","27","418","61","56","365","4.0","6.8","17316","9965","7351","31565","23976","3.17","3.26","0.47812085839","0.00784367023"
"3","0626370","Mount Diablo Unified School District","323423016.0","13062580.0","+37.9599832","-121.9825988","250501","15812","15359","15502","16344","14979","17475","16922","16752","17881","19929","19483","17178","14464","9841","7230","5774","4594","4982","123004","8077","7826","7881","8650","7926","8901","8625","8389","8871","9643","9472","8221","6832","4492","3231","2506","1807","1654","127497","7735","7533","7621","7694","7053","8574","8297","8363","9010","10286","10011","8957","7632","5349","3999","3268","2787","3328","38.9","37.2","40.5","200632","97567","103065","193786","93931","99855","184526","88987","95539","40711","17606","23105","32421","13690","18731","250501","235716","166464","9646","1476","31295","3841","7457","11173","1882","2150","1848","2944","1232","146","165","177","744","25603","14785","1715","5232","1403","3003","179329","12327","4163","38577","2435","29877","250501","61303","42898","1608","417","16380","189198","250501","61303","28896","629","767","580","118","24998","5315","189198","137568","9017","709","30715","1114","605","9470","250501","247874","93358","47263","71162","50261","17995","5131","3014","18096","989","961","6539","2627","1696","692","1004","931","514","417","93358","63071","28453","47263","21088","4896","2258","10912","5107","30287","22640","9283","2243","13357","6007","31355","23336","2.66","3.16","98607","93358","5249","2322","127","1018","183","298","1301","1.7","6.6","93358","60417","32941","158840","89034","2.63","2.7","1.09311260253","0.03449481007"
"4","0624030","Martinez Unified School District","107014536.0","3874716.0","+37.9776782","-122.1497129","28945","1438","1584","1682","1826","1804","1851","1868","1750","2160","2657","2727","2487","1830","1192","751","510","430","398","14516","720","801","836","983","982","973","940","905","1054","1306","1336","1250","938","572","360","240","178","142","14429","718","783","846","843","822","878","928","845","1106","1351","1391","1237","892","620","391","270","252","256","41.5","40.5","42.5","23861","11969","11892","23102","11559","11543","21998","10941","11057","4293","2017","2276","3281","1492","1789","28945","27134","22467","1022","237","1663","197","314","703","144","63","59","183","153","34","30","21","68","1592","1811","417","485","184","291","24083","1370","810","2368","323","2023","28945","4971","3592","157","59","1163","23974","28945","4971","2646","47","85","46","21","1535","591","23974","19821","975","152","1617","132","57","1220","28945","27905","11298","5308","7642","5237","1553","494","271","2104","95","91","915","1040","764","697","67","276","192","84","11298","7301","3128","5308","2146","580","298","1413","684","3997","3009","1320","232","1689","545","3452","2386","2.47","2.99","11991","11298","693","232","11","143","16","47","244","1.9","5.4","11298","7247","4051","18658","9247","2.57","2.28","0.64531388657","0.01137130653"
"5","0640740","Vallejo City Unified School District","107573629.0","64975445.0","+38.1132602","-122.2815836","119022","7804","7449","7495","8473","8539","8420","7510","7251","7699","8678","9261","8878","7277","4653","3222","2460","1953","2000","57864","3949","3797","3845","4432","4335","4254","3750","3487","3829","4124","4362","4228","3441","2188","1447","1059","699","638","61158","3855","3652","3650","4041","4204","4166","3760","3764","3870","4554","4899","4650","3836","2465","1775","1401","1254","1362","37.7","35.8","39.4","94660","45405","49255","91268","43653","47615","86014","40869","45145","18377","7931","10446","14288","6031","8257","119022","110097","39341","26126","798","29188","1157","1110","24684","291","239","599","1108","1290","135","466","297","392","13354","8925","684","1778","1296","1266","45504","29583","2559","33132","2519","15864","119022","27269","19494","934","193","6648","91753","119022","27269","9480","710","319","520","83","13046","3111","91753","29861","25416","479","28668","1207","308","5814","119022","117318","41577","18226","35356","22506","13771","4610","2153","8388","568","575","3395","1704","533","242","291","1171","801","370","41577","28484","12429","18226","7468","2850","1326","7408","3635","13093","10118","4453","1046","5665","2282","14810","10587","2.82","3.36","45644","41577","4067","1789","67","784","105","126","1196","3.1","9.5","41577","24667","16910","69541","47777","2.82","2.83","0.67854461081","0.01772626136"
"6","0618990","John Swett Unified School District","52791147.0","8760258.0","+38.0320857","-122.2234423","13888","758","823","881","967","825","966","839","854","950","1150","1174","1084","901","575","431","292","204","214","6748","378","447","443","505","428","463","395","414","443","560","572","504","442","271","190","128","95","70","7140","380","376","438","462","397","503","444","440","507","590","602","580","459","304","241","164","109","144","40.2","38.6","41.2","11208","5360","5848","10838","5177","5661","10265","4881","5384","2236","1002","1234","1716","754","962","13888","12880","6875","1971","92","2697","478","245","1481","54","32","60","347","95","23","6","23","43","1150","1008","142","205","146","146","7642","2303","331","3113","187","1441","13888","2953","2054","67","18","814","10935","13888","2953","1317","60","39","64","3","1115","355","10935","5558","1911","53","2633","92","35","653","13888","13847","5175","2379","4090","2587","1327","401","261","876","60","39","401","41","0","0","0","41","12","29","5175","3541","1501","2379","933","312","127","850","441","1634","1269","568","138","701","264","1721","1305","2.68","3.2","5668","5175","493","184","13","74","28","23","171","2.2","8.5","5175","3218","1957","8756","5091","2.72","2.6","0.40734521823","0.00631580616"
"7","0637530","South San Francisco Unified School District","29504967.0","38401263.0","+37.6551037","-122.3762342","77916","4568","4340","4456","4745","4969","5834","5886","5434","5446","5817","5885","5140","4704","3127","2489","1967","1582","1527","38342","2302","2218","2297","2544","2619","3006","3052","2753","2685","2855","2843","2451","2282","1370","1109","856","592","508","39574","2266","2122","2159","2201","2350","2828","2834","2681","2761","2962","3042","2689","2422","1757","1380","1111","990","1019","38.9","37.1","40.6","63611","31006","32605","61677","30015","31662","58855","28484","30371","13266","5712","7554","10692","4435","6257","77916","73351","26763","2048","420","32594","1091","9073","19126","578","463","511","1752","1306","76","46","438","746","10220","4565","269","1326","209","969","29980","2741","1019","35212","2096","11874","77916","23340","13820","660","116","8744","54576","77916","23340","10470","178","275","480","66","9870","2001","54576","16293","1870","145","32114","1240","350","2564","77916","77164","25544","13620","22358","13364","10038","2493","1966","5604","362","316","1557","752","75","27","48","677","332","345","25544","18701","7685","13620","5833","1537","532","3544","1320","6843","5229","2258","666","2971","1567","8986","7747","3.02","3.46","26634","25544","1090","414","23","208","40","100","305","1.3","4.1","25544","15867","9677","47825","29339","3.01","3.03","0.49788972554","0.0069333231"
"8","0640590","Vacaville Unified School District","268962817.0","1101476.0","+38.3825661","-121.9869787","77469","4972","5123","5395","5673","5357","5507","4743","4733","4997","6082","5962","5071","4405","2848","2127","1821","1352","1301","37679","2606","2630","2697","2839","2690","2825","2373","2317","2380","2917","2880","2358","2112","1378","903","794","528","452","39790","2366","2493","2698","2834","2667","2682","2370","2416","2617","3165","3082","2713","2293","1470","1224","1027","824","849","37.2","35.4","38.9","60877","29202","31675","58447","27992","30455","55266","26395","28871","12010","5290","6720","9449","4055","5394","77469","71830","54464","4940","739","4175","386","548","2141","377","192","211","320","441","131","150","79","81","7071","5639","798","1479","754","928","59311","6476","2011","6601","1055","8440","77469","18114","13906","698","134","3376","59355","77469","18114","8321","252","327","186","72","6950","2006","59355","46143","4688","412","3989","369","121","3633","77469","77235","28916","15109","23710","16838","4862","1802","691","4638","365","239","1949","234","185","58","127","49","33","16","28916","20316","9277","15109","6403","1541","850","3666","2024","8600","6772","2779","698","3993","1954","10357","6983","2.67","3.15","30608","28916","1692","772","35","359","89","98","339","1.9","6.7","28916","18152","10764","49186","28049","2.71","2.61","0.98172623038","0.02784630856"
"9","0602850","Antioch Unified School District","102836539.0","6313676.0","+37.9789846","-121.8066181","107036","7626","8031","8733","9110","7619","7196","6650","6980","7709","8422","7955","6474","4933","3248","2263","1685","1237","1165","52096","3802","4106","4489","4625","3863","3539","3167","3365","3600","4057","3871","3160","2338","1548","1002","729","471","364","54940","3824","3925","4244","4485","3756","3657","3483","3615","4109","4365","4084","3314","2595","1700","1261","956","766","801","33.9","32.5","35.1","80809","38800","42009","76980","36845","40135","71888","34238","37650","12361","5430","6931","9598","4114","5484","107036","98840","53421","18015","927","10636","971","1387","5763","224","215","721","1355","842","82","143","216","401","14999","8196","843","1701","1203","1733","59903","20750","2633","13722","1571","17673","107036","34020","24414","1285","184","8137","73016","107036","34020","14288","641","454","405","77","14732","3423","73016","39133","17374","473","10231","765","267","4773","107036","106360","33922","17855","36782","25354","11059","3993","1655","6742","634","286","2785","676","264","109","155","412","225","187","33922","26169","13298","17855","8766","2374","1178","5940","3354","7753","5749","2518","597","3231","1393","15320","7116","3.14","3.51","36645","33922","2723","1039","50","647","131","88","768","2.9","7.9","33922","21874","12048","67532","38828","3.09","3.22","0.54201726965","0.0111926424"
