"shapeid","x","y"
"0","-122.020034","37.873573"
"0","-122.019672","37.873524"
"0","-122.019217","37.87344"
"0","-122.017855","37.873188"
"0","-122.017401","37.873104"
"0","-122.015621","37.872882"
"0","-122.011636","37.872387"
"0","-122.010486","37.872243"
"0","-122.010283","37.872218"
"0","-122.009276","37.872093"
"0","-122.009531","37.872828"
"0","-122.010009","37.873238"
"0","-122.010278","37.873748"
"0","-122.010529","37.874222"
"0","-122.010537","37.874238"
"0","-122.011059","37.875226"
"0","-122.012588","37.878119"
"0","-122.012748","37.878423"
"0","-122.013005","37.878909"
"0","-122.013189","37.879258"
"0","-122.013828","37.880467"
"0","-122.012498","37.880854"
"0","-122.00851","37.882017"
"0","-122.008288","37.882082"
"0","-122.00753","37.882303"
"0","-122.007175","37.882383"
"0","-122.007261","37.881476"
"0","-122.00743","37.879714"
"0","-122.007444","37.879556"
"0","-122.00746","37.879396"
"0","-122.007045","37.878904"
"0","-122.006458","37.878208"
"0","-122.006353","37.878053"
"0","-122.006249","37.877898"
"0","-122.00662","37.877929"
"0","-122.006806","37.877945"
"0","-122.007093","37.877933"
"0","-122.007711","37.87791"
"0","-122.007518","37.877757"
"0","-122.007293","37.877578"
"0","-122.007188","37.877048"
"0","-122.007162","37.876912"
"0","-122.006621","37.877083"
"0","-122.005751","37.877357"
"0","-122.005237","37.87752"
"0","-122.003632","37.87774"
"0","-122.003474","37.877761"
"0","-121.998417","37.878459"
"0","-121.997874","37.878533"
"0","-121.996428","37.878734"
"0","-121.988657","37.879805"
"0","-121.97796","37.881278"
"0","-121.973305","37.88192"
"0","-121.971141","37.882218"
"0","-121.962959","37.883088"
"0","-121.958417","37.883571"
"0","-121.952743","37.884174"
"0","-121.949994","37.884467"
"0","-121.947358","37.884748"
"0","-121.944471","37.885055"
"0","-121.942927","37.885219"
"0","-121.942976","37.884338"
"0","-121.943141","37.881395"
"0","-121.938154","37.881489"
"0","-121.928949","37.881664"
"0","-121.909484","37.882032"
"0","-121.909948","37.873906"
"0","-121.910242","37.868768"
"0","-121.910302","37.867704"
"0","-121.910796","37.859073"
"0","-121.911004","37.855435"
"0","-121.911004","37.854614"
"0","-121.911003","37.851199"
"0","-121.911002","37.850043"
"0","-121.911001","37.846866"
"0","-121.911001","37.846086"
"0","-121.904776","37.846087"
"0","-121.899863","37.846088"
"0","-121.898784","37.846088"
"0","-121.895628","37.846088"
"0","-121.893393","37.846089"
"0","-121.889698","37.846088"
"0","-121.888612","37.846087"
"0","-121.880773","37.846084"
"0","-121.87427","37.846081"
"0","-121.86949","37.84608"
"0","-121.867875","37.846084"
"0","-121.863031","37.846096"
"0","-121.862588","37.846098"
"0","-121.861417","37.846094"
"0","-121.856649","37.846039"
"0","-121.846915","37.845928"
"0","-121.842347","37.845875"
"0","-121.83758","37.845821"
"0","-121.837303","37.845829"
"0","-121.836475","37.845853"
"0","-121.836199","37.845862"
"0","-121.835432","37.845895"
"0","-121.833131","37.845995"
"0","-121.832365","37.846029"
"0","-121.832374","37.845735"
"0","-121.832403","37.844855"
"0","-121.832413","37.844562"
"0","-121.832412","37.844362"
"0","-121.832411","37.843762"
"0","-121.832411","37.843563"
"0","-121.832426","37.839197"
"0","-121.824516","37.839321"
"0","-121.824237","37.839325"
"0","-121.81938","37.839401"
"0","-121.819563","37.833978"
"0","-121.819838","37.825845"
"0","-121.819898","37.824052"
"0","-121.819929","37.823154"
"0","-121.820207","37.814899"
"0","-121.82037","37.810047"
"0","-121.820486","37.806612"
"0","-121.82056","37.804449"
"0","-121.820593","37.803476"
"0","-121.820685","37.800764"
"0","-121.820722","37.799649"
"0","-121.820729","37.799461"
"0","-121.820816","37.796879"
"0","-121.820911","37.794064"
"0","-121.82091","37.793965"
"0","-121.820909","37.793949"
"0","-121.820909","37.793745"
"0","-121.820908","37.793608"
"0","-121.820908","37.793604"
"0","-121.820921","37.79349"
"0","-121.820937","37.789757"
"0","-121.820983","37.779389"
"0","-121.820976","37.778561"
"0","-121.820945","37.77483"
"0","-121.820942","37.774689"
"0","-121.820935","37.774268"
"0","-121.820933","37.774128"
"0","-121.820914","37.7718"
"0","-121.820859","37.764817"
"0","-121.820854","37.764118"
"0","-121.822482","37.764113"
"0","-121.831891","37.764209"
"0","-121.831866","37.756611"
"0","-121.831873","37.756033"
"0","-121.831835","37.749541"
"0","-121.832424","37.749397"
"0","-121.834195","37.748966"
"0","-121.834785","37.748823"
"0","-121.834951","37.74878"
"0","-121.835457","37.748656"
"0","-121.835612","37.748617"
"0","-121.835624","37.748615"
"0","-121.842643","37.746907"
"0","-121.849382","37.745269"
"0","-121.85562","37.743756"
"0","-121.858377","37.743086"
"0","-121.86002","37.742688"
"0","-121.8637","37.741793"
"0","-121.870719","37.740089"
"0","-121.870733","37.740086"
"0","-121.870979","37.740026"
"0","-121.873542","37.739317"
"0","-121.873855","37.739217"
"0","-121.87434","37.739091"
"0","-121.8744","37.73909"
"0","-121.874449","37.739087"
"0","-121.874495","37.739074"
"0","-121.874917","37.738964"
"0","-121.875056","37.738928"
"0","-121.87506","37.738935"
"0","-121.875125","37.738919"
"0","-121.875145","37.738913"
"0","-121.876051","37.738689"
"0","-121.876706","37.738528"
"0","-121.877425","37.73835"
"0","-121.879961","37.737724"
"0","-121.881567","37.737328"
"0","-121.883366","37.736928"
"0","-121.884236","37.736723"
"0","-121.892231","37.734842"
"0","-121.894897","37.734216"
"0","-121.895267","37.734128"
"0","-121.896811","37.733758"
"0","-121.902553","37.732385"
"0","-121.904467","37.731928"
"0","-121.904721","37.731863"
"0","-121.905462","37.731669"
"0","-121.908445","37.730896"
"0","-121.90944","37.730639"
"0","-121.909525","37.730616"
"0","-121.909782","37.73055"
"0","-121.909868","37.730528"
"0","-121.909921","37.730514"
"0","-121.910084","37.730473"
"0","-121.910138","37.73046"
"0","-121.910201","37.730446"
"0","-121.910394","37.730405"
"0","-121.910459","37.730393"
"0","-121.91057","37.73038"
"0","-121.911021","37.73033"
"0","-121.911147","37.730318"
"0","-121.912688","37.73"
"0","-121.913243","37.729887"
"0","-121.913497","37.72984"
"0","-121.913568","37.729828"
"0","-121.914254","37.729678"
